bench,contender,config,n,axes,payload,ns_op,ns_elem,melem_s,bytes,allocs,passes,reps
scale,std::stable_perm,e64/random,100000,1,0,6523542.0,65.2354,15.33,400000,1,0.0,8
scale,radix_gather,e64/random,100000,1,0,863895.5,8.6390,115.75,0,0,8.0,60
scale,radix_carry,e64/random,100000,1,0,750458.5,7.5046,133.25,0,0,8.0,78
scale,radix_prehist,e64/random,100000,1,0,738125.0,7.3812,135.48,0,0,8.0,76
scale,radix_carry_alloc,e64/random,100000,1,0,806812.5,8.0681,123.94,2100136,10,8.0,68
scale,std::sort_direct,e64/random,1000000,1,0,40873167.0,40.8732,24.47,0,0,0.0,3
scale,std::sort_perm,e64/random,1000000,1,0,67346833.0,67.3468,14.85,0,0,0.0,3
scale,std::stable_perm,e64/random,1000000,1,0,81964459.0,81.9645,12.20,4000000,1,0.0,3
scale,radix_gather,e64/random,1000000,1,0,11328209.0,11.3282,88.28,0,0,8.0,4
scale,radix_carry,e64/random,1000000,1,0,9524042.0,9.5240,105.00,0,0,8.0,6
scale,radix_prehist,e64/random,1000000,1,0,10114834.0,10.1148,98.86,0,0,8.0,6
scale,radix_carry_alloc,e64/random,1000000,1,0,16770416.0,16.7704,59.63,21000136,10,8.0,4
scale,std::sort_direct,e64/random,10000000,1,0,547002084.0,54.7002,18.28,0,0,0.0,3
scale,std::sort_perm,e64/random,10000000,1,0,1007890625.0,100.7891,9.92,0,0,0.0,3
scale,std::stable_perm,e64/random,10000000,1,0,1111553291.0,111.1553,9.00,40000000,1,0.0,3
scale,radix_gather,e64/random,10000000,1,0,438983709.0,43.8984,22.78,0,0,8.0,3
scale,radix_carry,e64/random,10000000,1,0,95279792.0,9.5280,104.95,0,0,8.0,3
scale,radix_prehist,e64/random,10000000,1,0,95577375.0,9.5577,104.63,0,0,8.0,3
scale,radix_carry_alloc,e64/random,10000000,1,0,107110834.0,10.7111,93.36,210000136,10,8.0,3
